bad;/bæd/;adj:xấu, tồi
baby;/ˈbeɪ.bi/;n:đứa bé mới sinh, trẻ thơ
age;/eɪdʒ/;n:tuổi 
base;/beɪs/;n:cơ sở, cơ bản, nền móng/v:đặt cơ sở trên cái gì
big;/bɪɡ/;adj:to, lớn
crowd;/kraʊd/;n:đám đông
ago;/əˈɡəʊ/;adv:trước đây
decide;/dɪˈsaɪd/;v:quyết định, giải quyết, phân xử
during;/ˈdʒʊə.rɪŋ/;prep:trong lúc, trong thời gian
bit;/bɪt/;n:miếng, mảnh
climb;/klaɪm/;v:leo, trèo
division;/dɪˈvɪʒ.ən/;n:sự chia, sự phân chia, sự phân loại
corner;/ˈkɔː.nər/;n:góc (tường, nhà, phố...)
experiment;/ɪkˈsper.ɪ.mənt/;n:cuộc thí nghiệm/v:thí nghiệm
children;/ˈtʃɪl.drən/;n:những đứa bé, đứa trẻ
else;/els/;adv:khác, nữa, nếu không
broad;/brɔːd/;adj:rộng
block;/blɒk/;n:khối, tảng (đá)/v:làm ngăn cản, ngăn chặn
catch;/kætʃ/;v:bắt lấy, nắm lấy, tóm lấy, chộp lấy
enter;/ˈen.tər/;v:đi vào, gia nhập
between;/bɪˈtwiːn/;prep:giữa, ở giữa
case;/keɪs/;n:vỏ, ngăn, túi
calculator;/ˈkæl.kjə.leɪ.tər/;n: máy tính (dùng để tính toán)
double;/ˈdʌb.əl/;adj:đôi, hai, kép/adv:lượng gấp đôi/v:làm gấp đôi
distant;/ˈdɪs.tənt/;adj:xa, cách, xa cách
come;/kʌm/;v:đến, tới, đi đến, đi tới
agree;/əˈɡriː/;v:đồng ý, tán thành
bell;/bel/;n:cái chuông, tiếng chuông
drink;/drɪŋk/;n:đồ uống/v:uống
coast;/kəʊst/;n:sự lao dốc, bờ biển
ever;/ˈev.ər/;adv:từng, từ trước tới giờ
even;/ˈiː.vən/;adv:ngay cả, ngay, lại còn/adj:bằng phẳng, điềm đạm, ngang bằng
among;/əˈmʌŋ/;prep:giữa, ở giữa
exact;/ɪɡˈzækt/;adj:chính xác, đúng
begin;/bɪˈɡɪn/;v:bắt đầu, khởi đầu
dog;/dɒɡ/;n:chó
card;/kɑːd/;n:thẻ, thiếp
care;/keər/;n:sự chăm sóc/v:chăm nom
city;/ˈsɪt.i/;n:thành phố
against;/əˈɡenst/;prep:chống lại, phản đối
bright;/braɪt/;adj:sáng, sáng chói
direct;/daɪˈrekt/;adj:trực tiếp, thẳng, thẳng thắn/v:gửi, viết cho ai, điều khiển
exercise;/ˈek.sə.saɪz/;n:bài tập, sự thi hành, sự thực hiện/v:làm, thi hành, thực hiện
air;/eər/;n:không khí, bầu không khí, không gian
cell;/sel/;n:ô, ngăn
eight;/eɪt/;n:số tám, tám
computer;/kəmˈpjuː.tər/;n:máy tính
ear;/ɪər/;n:tai
dark;/dɑːk/;adj:tối, tối tăm/n:bóng tối, ám muội
course;/kɔːs/;n:tiến trình, sân chạy đua, khóa học
eat;/iːt/;v:ăn
copy;/ˈkɒp.i/;n:bản sao, bản chép lại, sự sao chép/v:sao chép, bắt chước
event;/ɪˈvent/;n:sự việc, sự kiện
bread;/bred/;n:bánh mỳ
break;/breɪk/;v:bẻ gãy, đập vỡ/n:sự gãy, sự vỡ
chair;/tʃeər/;n:cái ghế
cook;/kʊk/;v:nấu ăn/n:người nấu ăn
born;/bɔːn/;v:sinh, đẻ
change;/tʃeɪndʒ/;v:thay đổi/n:sự thay đổi, sự biến đổi
cool;/kuːl/;adj:mát mẻ, điềm tĩnh/v:làm mát
electricity;/ˌel.ɪkˈtrɪs.ə.ti/;n:dòng điện
draw;/drɔː/;v:vẽ, kéo rút (bài, tủ,...)
boat;/bəʊt/;n:tàu, thuyền
expect;/ɪkˈspekt/;v:chờ đợi, mong ngóng, liệu trước
century;/ˈsen.tʃər.i/;n:thế kỷ
able;/ˈeibəl/;adj:có năng lực, có tài
atom;/ˈæt.əm/;n:nguyên tử
choice;/tʃɔɪs/;n:sự lựa chọn
complete;/kəmˈpliːt/;v:hoàn thành, xong/adj:hoàn toàn
evening;/ˈiːv.nɪŋ/;n:buổi chiều, tối
certain;/ˈsɜː.tən/;adj:chắc chắn
board;/bɔːd/;n:tấm ván/v:lát ván, lót ván
door;/dɔːr/;n:cửa, cửa ra vào
dress;/dres/;n:quần áo/v:mặc (quần áo), ăn mặc
capital;/ˈkæp.ɪ.təl/;n:thủ đô, tiền vốn/adj:chủ yếu, chính yếu, cơ bản
before;/bɪˈfɔːr/;prep:đằng trước/conj:trước (khi...)
corn;/kɔːn/;n:ngô
dad;/dæd/;n:bố, cha
cotton;/ˈkɒt.ən/;n:bông, chỉ, sợi
cow;/kaʊ/;n:con bò cái
body;/ˈbɒd.i/;n:thân thể, thân xác
experience;/ɪkˈspɪə.ri.əns/;n:kinh nghiệm/v:trải qua, nếm mùi
anger;/ˈæŋ.ɡər/;n:sự tức giận, sự giận dữ
cloud;/klaʊd/;n:mây, đám mây
edge;/edʒ/;n:lưỡi, cạnh sắc
arrange;/əˈreɪndʒ/;v:sắp xếp, sắp đặt, sửa soạn
beat;/biːt/;n:tiếng đập, sự đập/v:đánh đập, đấm
claim;/kleɪm/;v:đòi hỏi, yêu sách/n:sự đòi hỏi, sự yêu sách, sự thỉnh cầu
create;/kriˈeɪt/;v:sáng tạo, tạo nên
bear;/beər/;n:con gấu/v:mang, cầm, vác, đeo, ôm
consider;/kənˈsɪd.ər/;v:cân nhắc, xem xét, để ý, quan tâm
blow;/bləʊ/;v:nở hoa, thổi/n:sự nở hoa
day;/deɪ/;n:ngày, ban ngày
all;/ɔːl/;det:tất cả/pron:tất cả/adv:tất cả
always;/ˈɔːl.weɪz/;adv:luôn luôn
bottom;/ˈbɒt.əm/;n:phần dưới cùng, thấp nhất/adj:cuối, cuối cùng
difficult;/ˈdɪf.ɪ.kəlt/;adj:khó, khó khăn, gay go
excite;/ɪkˈsaɪt/;v:kích thích, kích động
dry;/draɪ/;adj:khô, cạn/v:làm khô, sấy khô
clock;/klɒk/;n:đồng hồ
done;/dʌn/;adj:xong, hoàn thành, đã thực hiện
both;/bəʊθ/;det:cả hai/pron:(+of) cả hai (người, vật,...)
chick;/tʃɪk/;n:gà con, chim con
coat;/kəʊt/;n:áo choàng, áo khoác
condition;/kənˈdɪʃ.ən/;n:điều kiện, tình cảnh, tình thế
dream;/driːm/;n:giấc mơ/v:mơ
effect;/ɪˈfekt/;n:hiệu ứng, hiệu quả, kết quả
crease;/kriːs/;n:nếp nhăn, nếp gấp
basic;/ˈbeɪ.sɪk/;adj:cơ bản, cơ sở
collect;/kəˈlekt/;v:sưu tập, tập trung lại
behind;/bɪˈhaɪnd/;prep: sau, ở đằng sau
ease;/iːz/;n:sự thanh thản, sự thoải mái/v:làm thanh thản, làm yên tâm, làm dễ chịu
colony;/ˈkɒl.ə.ni/;n:thuộc địa
death;/deθ/;n:sự chết, cái chết
cause;/kɔːz/;n:nguyên nhân, nguyên do/v:gây ra, gây nên
best;/best/;adj:tốt nhất
box;/bɒks/;n:hộp, thùng
captain;/ˈkæp.tɪn/;n:người cầm đầu, người chỉ huy, thủ lĩnh
boy;/bɔɪ/;n:con trai, thiếu niên
ball;/bɔːl/;n:quả bóng
east;/iːst/;n:hướng đông, phía đông/adj:(thuộc) đông/adv:ở phía đông
car;/kɑːr/;n:xe hơi
and;/ænd/;conj:và
busy;/ˈbɪz.i/;adj:bận, bận rộn
cat;/kæt/;n:con mèo
design;/dɪˈzaɪn/;n:sự thiết kế, kế hoạch, đề cương/v:phác thảo, phác họa, thiết kế
burn;/bɜːn/;v:đốt, đốt cháy, thắp, nung, thiêu
chance;/tʃɑ:ns/;n:cơ hội
cost;/kɒst/;n:giá, chi phí/v:trả giá, phải trả
determine;/dɪˈtɜː.mɪn/;v:xác định, định rõ, quyết định
ant;/ænt/;n:con kiến
chief;/tʃiːf/;adj:trọng yếu, chính yếu/n:thủ lĩnh, lãnh tụ, người đứng đầu, sếp
electric;/iˈlek.trɪk/;adj:(thuộc) điện, có điện, phát điện
clear;/klɪər/;adj:trong suốt, dễ hiểu, dễ nghe/v:lau chùi, quét dọn
cross;/krɒs/;n:cây Thánh Giá, nỗi thống khổ, sự băng qua/v:băng qua, vượt qua
also;/ˈɔːl.səʊ/;adv:cũng, cũng vậy, cũng thế
control;/kənˈtrəʊl/;n:sự điều khiển, quyền hành, quyền chỉ huy/v:điều khiển, điều hành
cry;/kraɪ/;v:khóc, kêu la/n:sự khóc, tiếng khóc, sự kêu la
enough;/ɪˈnʌf/;det:đủ/adv:đủ
clean;/klɑːs/;adj:sạch sẽ/v:làm sạch
any;/ˈen.i/;det:một người, vật nào đó/pron:bất cứ/adv:một chút nào, tí nào
differ;/ˈdɪf.ər/;v:+from khác, không giống
doctor;/ˈdɒk.tər/;n:bác sĩ y khoa, tiến sĩ
build;/bɪld/;v:xây dựng
earth;/ɜːθ/;n:đất, trái đất
chord;/kɔːd/;n:hợp âm
