bad;/bæd/;adj:xấu, tồi
baby;/ˈbeɪ.bi/;n:đứa bé mới sinh, trẻ thơ
age;/eɪdʒ/;n:tuổi 
base;/beɪs/;n:cơ sở, cơ bản, nền móng/v:đặt cơ sở trên cái gì
big;/bɪɡ/;adj:to, lớn
crowd;/kraʊd/;n:đám đông
ago;/əˈɡəʊ/;adv:trước đây
decide;/dɪˈsaɪd/;v:quyết định, giải quyết, phân xử
during;/ˈdʒʊə.rɪŋ/;prep:trong lúc, trong thời gian
bit;/bɪt/;n:miếng, mảnh
climb;/klaɪm/;v:leo, trèo
division;/dɪˈvɪʒ.ən/;n:sự chia, sự phân chia, sự phân loại
corner;/ˈkɔː.nər/;n:góc (tường, nhà, phố...)
experiment;/ɪkˈsper.ɪ.mənt/;n:cuộc thí nghiệm/v:thí nghiệm
children;/ˈtʃɪl.drən/;n:những đứa bé, đứa trẻ
else;/els/;adv:khác, nữa, nếu không
broad;/brɔːd/;adj:rộng
block;/blɒk/;n:khối, tảng (đá)/v:làm ngăn cản, ngăn chặn
catch;/kætʃ/;v:bắt lấy, nắm lấy, tóm lấy, chộp lấy
enter;/ˈen.tər/;v:đi vào, gia nhập
between;/bɪˈtwiːn/;prep:giữa, ở giữa
case;/keɪs/;n:vỏ, ngăn, túi
calculator;/ˈkæl.kjə.leɪ.tər/;n: máy tính (dùng để tính toán)
double;/ˈdʌb.əl/;adj:đôi, hai, kép/adv:lượng gấp đôi/v:làm gấp đôi
distant;/ˈdɪs.tənt/;adj:xa, cách, xa cách
come;/kʌm/;v:đến, tới, đi đến, đi tới
agree;/əˈɡriː/;v:đồng ý, tán thành
bell;/bel/;n:cái chuông, tiếng chuông
drink;/drɪŋk/;n:đồ uống/v:uống
coast;/kəʊst/;n:sự lao dốc, bờ biển
ever;/ˈev.ər/;adv:từng, từ trước tới giờ
even;/ˈiː.vən/;adv:ngay cả, ngay, lại còn/adj:bằng phẳng, điềm đạm, ngang bằng
among;/əˈmʌŋ/;prep:giữa, ở giữa
exact;/ɪɡˈzækt/;adj:chính xác, đúng
begin;/bɪˈɡɪn/;v:bắt đầu, khởi đầu
dog;/dɒɡ/;n:chó
card;/kɑːd/;n:thẻ, thiếp
care;/keər/;n:sự chăm sóc/v:chăm nom
city;/ˈsɪt.i/;n:thành phố
against;/əˈɡenst/;prep:chống lại, phản đối
bright;/braɪt/;adj:sáng, sáng chói
direct;/daɪˈrekt/;adj:trực tiếp, thẳng, thẳng thắn/v:gửi, viết cho ai, điều khiển
exercise;/ˈek.sə.saɪz/;n:bài tập, sự thi hành, sự thực hiện/v:làm, thi hành, thực hiện
air;/eər/;n:không khí, bầu không khí, không gian
cell;/sel/;n:ô, ngăn
eight;/eɪt/;n:số tám, tám
computer;/kəmˈpjuː.tər/;n:máy tính
ear;/ɪər/;n:tai
dark;/dɑːk/;adj:tối, tối tăm/n:bóng tối, ám muội
course;/kɔːs/;n:tiến trình, sân chạy đua, khóa học
eat;/iːt/;v:ăn
copy;/ˈkɒp.i/;n:bản sao, bản chép lại, sự sao chép/v:sao chép, bắt chước
event;/ɪˈvent/;n:sự việc, sự kiện
bread;/bred/;n:bánh mỳ
break;/breɪk/;v:bẻ gãy, đập vỡ/n:sự gãy, sự vỡ
chair;/tʃeər/;n:cái ghế
cook;/kʊk/;v:nấu ăn/n:người nấu ăn
born;/bɔːn/;v:sinh, đẻ
change;/tʃeɪndʒ/;v:thay đổi/n:sự thay đổi, sự biến đổi
cool;/kuːl/;adj:mát mẻ, điềm tĩnh/v:làm mát
electricity;/ˌel.ɪkˈtrɪs.ə.ti/;n:dòng điện
draw;/drɔː/;v:vẽ, kéo rút (bài, tủ,...)
boat;/bəʊt/;n:tàu, thuyền
expect;/ɪkˈspekt/;v:chờ đợi, mong ngóng, liệu trước
century;/ˈsen.tʃər.i/;n:thế kỷ
able;/ˈeibəl/;adj:có năng lực, có tài
atom;/ˈæt.əm/;n:nguyên tử
choice;/tʃɔɪs/;n:sự lựa chọn
complete;/kəmˈpliːt/;v:hoàn thành, xong/adj:hoàn toàn
evening;/ˈiːv.nɪŋ/;n:buổi chiều, tối
certain;/ˈsɜː.tən/;adj:chắc chắn
board;/bɔːd/;n:tấm ván/v:lát ván, lót ván
door;/dɔːr/;n:cửa, cửa ra vào
dress;/dres/;n:quần áo/v:mặc (quần áo), ăn mặc
capital;/ˈkæp.ɪ.təl/;n:thủ đô, tiền vốn/adj:chủ yếu, chính yếu, cơ bản
before;/bɪˈfɔːr/;prep:đằng trước/conj:trước (khi...)
corn;/kɔːn/;n:ngô
dad;/dæd/;n:bố, cha
cotton;/ˈkɒt.ən/;n:bông, chỉ, sợi
cow;/kaʊ/;n:con bò cái
body;/ˈbɒd.i/;n:thân thể, thân xác
experience;/ɪkˈspɪə.ri.əns/;n:kinh nghiệm/v:trải qua, nếm mùi
anger;/ˈæŋ.ɡər/;n:sự tức giận, sự giận dữ
cloud;/klaʊd/;n:mây, đám mây
edge;/edʒ/;n:lưỡi, cạnh sắc
arrange;/əˈreɪndʒ/;v:sắp xếp, sắp đặt, sửa soạn
beat;/biːt/;n:tiếng đập, sự đập/v:đánh đập, đấm
claim;/kleɪm/;v:đòi hỏi, yêu sách/n:sự đòi hỏi, sự yêu sách, sự thỉnh cầu
create;/kriˈeɪt/;v:sáng tạo, tạo nên
bear;/beər/;n:con gấu/v:mang, cầm, vác, đeo, ôm
consider;/kənˈsɪd.ər/;v:cân nhắc, xem xét, để ý, quan tâm
blow;/bləʊ/;v:nở hoa, thổi/n:sự nở hoa
day;/deɪ/;n:ngày, ban ngày
all;/ɔːl/;det:tất cả/pron:tất cả/adv:tất cả
always;/ˈɔːl.weɪz/;adv:luôn luôn
bottom;/ˈbɒt.əm/;n:phần dưới cùng, thấp nhất/adj:cuối, cuối cùng
difficult;/ˈdɪf.ɪ.kəlt/;adj:khó, khó khăn, gay go
excite;/ɪkˈsaɪt/;v:kích thích, kích động
dry;/draɪ/;adj:khô, cạn/v:làm khô, sấy khô
clock;/klɒk/;n:đồng hồ
done;/dʌn/;adj:xong, hoàn thành, đã thực hiện
both;/bəʊθ/;det:cả hai/pron:(+of) cả hai (người, vật,...)
chick;/tʃɪk/;n:gà con, chim con
coat;/kəʊt/;n:áo choàng, áo khoác
condition;/kənˈdɪʃ.ən/;n:điều kiện, tình cảnh, tình thế
dream;/driːm/;n:giấc mơ/v:mơ
effect;/ɪˈfekt/;n:hiệu ứng, hiệu quả, kết quả
crease;/kriːs/;n:nếp nhăn, nếp gấp
basic;/ˈbeɪ.sɪk/;adj:cơ bản, cơ sở
collect;/kəˈlekt/;v:sưu tập, tập trung lại
behind;/bɪˈhaɪnd/;prep: sau, ở đằng sau
ease;/iːz/;n:sự thanh thản, sự thoải mái/v:làm thanh thản, làm yên tâm, làm dễ chịu
colony;/ˈkɒl.ə.ni/;n:thuộc địa
death;/deθ/;n:sự chết, cái chết
cause;/kɔːz/;n:nguyên nhân, nguyên do/v:gây ra, gây nên
best;/best/;adj:tốt nhất
box;/bɒks/;n:hộp, thùng
captain;/ˈkæp.tɪn/;n:người cầm đầu, người chỉ huy, thủ lĩnh
boy;/bɔɪ/;n:con trai, thiếu niên
ball;/bɔːl/;n:quả bóng
east;/iːst/;n:hướng đông, phía đông/adj:(thuộc) đông/adv:ở phía đông
car;/kɑːr/;n:xe hơi
and;/ænd/;conj:và
busy;/ˈbɪz.i/;adj:bận, bận rộn
cat;/kæt/;n:con mèo
design;/dɪˈzaɪn/;n:sự thiết kế, kế hoạch, đề cương/v:phác thảo, phác họa, thiết kế
burn;/bɜːn/;v:đốt, đốt cháy, thắp, nung, thiêu
chance;/tʃɑ:ns/;n:cơ hội
cost;/kɒst/;n:giá, chi phí/v:trả giá, phải trả
determine;/dɪˈtɜː.mɪn/;v:xác định, định rõ, quyết định
ant;/ænt/;n:con kiến
chief;/tʃiːf/;adj:trọng yếu, chính yếu/n:thủ lĩnh, lãnh tụ, người đứng đầu, sếp
electric;/iˈlek.trɪk/;adj:(thuộc) điện, có điện, phát điện
clear;/klɪər/;adj:trong suốt, dễ hiểu, dễ nghe/v:lau chùi, quét dọn
cross;/krɒs/;n:cây Thánh Giá, nỗi thống khổ, sự băng qua/v:băng qua, vượt qua
also;/ˈɔːl.səʊ/;adv:cũng, cũng vậy, cũng thế
control;/kənˈtrəʊl/;n:sự điều khiển, quyền hành, quyền chỉ huy/v:điều khiển, điều hành
cry;/kraɪ/;v:khóc, kêu la/n:sự khóc, tiếng khóc, sự kêu la
enough;/ɪˈnʌf/;det:đủ/adv:đủ
clean;/klɑːs/;adj:sạch sẽ/v:làm sạch
any;/ˈen.i/;det:một người, vật nào đó/pron:bất cứ/adv:một chút nào, tí nào
differ;/ˈdɪf.ər/;v:+from khác, không giống
doctor;/ˈdɒk.tər/;n:bác sĩ y khoa, tiến sĩ
build;/bɪld/;v:xây dựng
earth;/ɜːθ/;n:đất, trái đất
chord;/kɔːd/;n:hợp âm
face;/feɪs/;n:mặt, thể diện/v:đương đầu, đối phó, đối mặt
fact;/fækt/;n:sự việc, sự kiện có thật, có chứng cứ
fair;/feər/;adj:hợp lý, công bằng
fall;/fɔːl/;v:rơi, ngã/n:sự rơi, cú ngã
family;/ˈfæm.əl.i/;n:gia đình/adj:thuộc gia đình
famous;/ˈfeɪ.məs/;adj:nổi tiếng
far;/fɑːr/;adv:xa/adj:xa
farm;/fɑːm/;n:trang trại
fast;/fɑːst/;adj:nhanh/adv:nhanh
fat;/fæt/;adj:béo, béo bở/n:mỡ, chất béo
father;/ˈfɑː.ðər/;n:cha (bố)
favor;/ˈfeɪ.vər/;n:thiện ý, sự quý mến
fear;/fɪər/;n:sự sợ hãi, e sợ/v:sợ, lo ngại
feed;/fiːd/;v:cho ăn, nuôi
feel;/fiːl/;v:cảm thấy
feet;/fiːt/;n:chân, bàn chân (người, thú…)
few;/fjuː/;adj:ít, vài/pron:một ít, một vài
field;/fiːld/;n:cánh đồng, bãi chiến trường
fig;/fɪɡ/;n:(thực vật học) quả sung, quả vả
fight;/faɪt/;v:đấu tranh, chiến đấu/n:sự đấu tranh, cuộc chiến đấu
figure;/ˈfɪɡ.ər/;n:hình dáng, nhân vật/v:hình dung, miêu tả
fill;/fɪl/;v:làm đấy, lấp kín
final;/ˈfaɪ.nəl/;adj:cuối cùng/n:cuộc đấu chung kết
find;/faɪnd/;v:tìm, tìm thấy
fine;/faɪn/;adj:tốt, giỏi
finger;/ˈfɪŋ.ɡər/;n:ngón tay
finish;/ˈfɪn.ɪʃ/;v:kết thúc, hoàn thành/n:sự kết thúc, phần cuối
fire;/faɪər/;n:lửa/v:đốt cháy
first;/ˈfɜːst/;det:thứ nhất, đầu tiên, trước hết
fish;/fɪʃ/;n:cá, món cá/v:câu cá, bắt cá
fit;/fɪt/;v:hợp, vừa/adj:thích hợp, xứng đáng
five;/faɪv/;n:năm, số năm
flat;/flæt/;adj:bằng phẳng, bẹt, nhẵn/n:dãy phòng, căn phòng, mặt phẳng
floor;/flɔːr/;n:sàn, tầng (nhà)
flow;/fləʊ/;n:sự chảy/v:chảy
flower;/flaʊər/;n:hoa, bông, đóa, cây hoa
fly;/flaɪ/;v:bay/n:sự bay, quãng đường bay/n:con ruồi
follow;/ˈfɒl.əʊ/;v:đi theo sau, theo, tiếp theo
food;/fuːd/;n:đồ ăn, thức, món ăn
foot;/fʊt/;n:chân, bàn chân
for;/fɔːr/;prep:cho, dành cho…
force;/fɔːs/;n:sức mạnh/v:ép buộc, cưỡng ép
forest;/ˈfɒr.ɪst/;n:rừng
form;/fɔːm/;n:hình thể, hình dạng, hình thức/v:làm thành, được tạo thành
forward;/ˈfɔː.wəd/;adv:về tương lai, sau này ở phía trước, tiến về phía trước/adj:ở phía trước, tiến về phía trước
four;/fɔːr/;n:bốn, số bốn
fraction;/ˈfræk.ʃən/;n:(toán học) phân số
free;/friː/;adj:miễn phí, tự do/v:giải phóng, trả tự do
fresh;/freʃ/;adj:tươi, tươi tắn
friend;/frend/;n:người bạn
from;/frɒm/;prep:từ
front;/frʌnt/;n:mặt/adj:đằng trước, về phía trước
fruit;/fruːt/;n:quả, trái cây
full;/fʊl/;adj:đầy, đầy đủ
fun;/fʌn/;n:sự vui đùa, sự vui thích/adj:hài hước
game;/ɡeɪm/;n:trò chơi
garden;/ˈɡɑː.dən/;n:vườn
gas;/ɡæs/;n:khí, hơi đốt
gather;/ˈɡæð.ər/;v:tập hợp; hái, lượm, thu thập
general;/ˈdʒen.ər.əl/;adj:chung, chung chung, tổng
gentle;/ˈdʒen.təl/;adj:hiền lành, dịu dàng, nhẹ nhàng
get;/ɡet/;v:được, có được
girl;/ɡɜːl/;n:con gái
give;/ɡɪv/;v:cho, biếu, tặng
glad;/ɡlæd/;adj:vui lòng, sung sướng
glass;/ɡlɑːs/;n:kính, thủy tinh, cái cốc, ly
go;/ɡəʊ/;v:đi
gold;/ɡəʊld/;n:vàng/adj:bằng vàng
good;/ɡʊd/;adj:tốt, hay, tuyệt/n:điều tốt, điều thiện
goods;/ɡʊdz/;n:hàng hóa
got;/ɡɒt/;v:có
govern;/ˈɡʌv.ən/;v:cầm quyền, cai trị
government;/ˈɡʌv.ɚn.mənt/;n:chính quyền
grand;/ɡrænd/;adj:rộng lớn, vĩ đại
grass;/ɡrɑːs/;n:cỏ; bãi cỏ, đồng cỏ
gray;/ɡreɪ/;adj:xám, có màu xám/n:màu xám
great;/ɡreɪt/;adj:to, lớn, vĩ đại
green;/ɡriːn/;adj:có màu xanh lá cây/n:màu xanh lá cây
ground;/ɡraʊnd/;n:mặt đất, đất, bãi đất
giant;/ˈdʒaɪ.ənt/;n:người khổng lồ/adj:to lớn, khổng lồ
group;/ɡruːp/;n:nhóm
grape;/ɡreɪp/;n:quả nho
grow;/ɡrəʊ/;v:mọc, mọc lên, lớn lên
guess;/ɡes/;v:đoán, phỏng đoán/n:sự đoán, sự ước chừng
guide;/ɡaɪd/;n:điều chỉ dẫn, người hướng dẫn/v:hướng dẫn, dẫn đường
gun;/ɡʌn/;n:súng
guest;/ɡest/;n:khách khứa
hippo;/ˈhɪp.oʊ/;n:con hà mã
hair;/heər/;n:tóc
half;/hɑːf/;n:một nửa, phần chia đôi;det:nửa
hand;/hænd/;n:tay, bàn tay/v:trao tay, đưa cho
happen;/ˈhæp.ən/;v:xảy ra, xảy đến
happy;/ˈhæp.i/;adj:vui sướng, hạnh phúc
hard;/hɑːd/;adj:cứng, rắn, hà khắc/adv:hết sức cố gắng, tích cực
hat;/hæt/;n:cái mũ
have;/hæv/;v:có
he;/hiː/;pron:nó, anh ấy, ông ấy
head;/hed/;n:cái đầu (người thú)/v:chỉ huy, lãnh đạo, dẫn đầu
hear;/hɪər/;v:nghe
heart;/hɑːt/;n:tim, trái tim
heat;/hiːt/;n:hơi nóng, sức nóng/v:làm nóng
heavy;/ˈhev.i/;adj:nặng, nặng nề
help;/help/;v:giúp đỡ/n:sự giúp đỡ
her;/hɜːr/;pron:chị ấy, cô ấy, bà ấy/pron:cái của chị ấy, cái của cô ấy, cái của bà ấy/det:của chị ấy, cô ấy, bà ấy
here;/hɪər/;adv:đây, ở đây
high;/hɪər/;adj:cao, ở mức độ cao/adv:ở mức cao
hill;/hɪl/;n:đồi
him;/hɪm/;pron:hắn, ông ấy, anh ấy
his;/hɪz/;det:của hắn, của ông ấy, của anh ấy/pron:cái của hắn, cái của ông ấy, cái của anh ấy
history;/ˈhɪs.tər.i/;n:lịch sử, sử học
historic;/hɪˈstɔːr.ɪk/;adj:quan trọng trong lịch sử
historical;/hɪˈstɔːr.ɪ.kəl/;adj:thuộc lịch sử
hit;/hɪt/;v:đánh, đấm, ném trúng/n:đòn, cú đấm
hold;/həʊld/;v:cầm, nắm, giữ/n:sự cầm, sự nắm giữ
hole;/həʊl/;n:lỗ, lỗ trống, hang
home;/həʊm/;n:nhà/adv:ở tại nhà, nước mình
hope;/həʊp/;v:hy vọng/n:nguồn hy vọng
horse;/hɔːs/;n:con ngựa
hot;/hɒt/;adj:nóng, nóng bức
hour;/aʊər/;n:giờ
house;/haʊs/;n:nhà, căn nhà, tòa nhà
how;/haʊ/;adv:thế nào, như thế nào, làm sao, ra sao
huge;/hjuːdʒ/;adj:to lớn, khổng lồ
human;/ˈhjuː.mən/;adj:(thuộc) con người/n:loài người
hundred;/ˈhʌn.drəd/;det:trăm
hunt;/hʌnt/;v:săn, đi săn
hurry;/ˈhʌr.i/;v:vội vàng, gấp rút/n:sự vội vàng, sự gấp rút
imagination;/ɪˌmædʒ.əˈneɪ.ʃən/;n:trí tưởng tượng, sự tưởng tượng
imaginative;/ɪˈmædʒ.ə.nə.t̬ɪv/;adj:giàu trí tưởng tượng
imaginable;/ɪˈmædʒ.ə.nə.bəl/;adj:có thể tưởng tượng
I;/aɪ/;pron:tôi
ideal;/aɪˈdiː.əl/;adj:lý tưởng/n:điều lý tưởng
ice;/aɪs/;n:băng, (nước) đá
idea;/aɪˈdɪə/;n:ý tưởng, quan niệm
if;/ɪf/;(conj):nếu, nếu như
imagine;/ɪˈmædʒ.ɪn/;v:tưởng tượng, hình dung, tưởng rằng, cho rằng
in;/ɪn/;prep:ở, tại, trong/adv:vào
inch;/ɪntʃ/;n:insơ (đơn vị đo chiều dài Anh bằng 2, 54 cm)
include;/ɪnˈkluːd/;v:bao gồm, tính cả
indicate;/ˈɪn.dɪ.keɪt/;v:chỉ, cho biết, biểu thị, trình bày ngắn gọn
industry;/ˈɪn.də.stri/;n:công nghiệp, kỹ nghệ
import;/ɪmˈpɔːrt/;v:nhập khẩu/n:hàng nhập khẩu
export;/ˈek.spɔːrt/;v:xuất khẩu/n:hàng xuất khẩu
implement;/ˈɪm.plə.ment/;v:thực thi, triển khai
implementation;/ˌɪm.plə.menˈteɪ.ʃən/;n:sự triển khai, sự thực hiện
insect;/ˈɪn.sekt/;n:sâu bọ, côn trùng
instant;/ˈɪn.stənt/;adj:lúc, chốc lát
instrument;/ˈɪn.strə.mənt/;n:dụng cụ âm nhạc khí
interest;/ˈɪn.trəst/;n:sự thích thú, sự quan tâm, chú ý/v:làm quan tâm, làm chú ý
intersting;/ˈɪn.trɪ.stɪŋ/;adj:thú vị
impress;/ɪmˈpres/;v:gây ấn tượng, làm ấn tượng
impression;/ɪmˈpreʃ.ən/;n:sự ấn tượng
impressive;/ɪmˈpres.ɪv/;adj:ấn tượng
invent;/ɪnˈvent/;v:phát minh, sáng chế
invention;/ɪnˈven.ʃən/;n:phát minh
iron;/aɪən/;n:sắt/v:bọc sắt/v:là ủi
island;/ˈaɪ.lənd/;n:hòn đảo
it;/ɪt/;pron:cái đó, điều đó, con vật đó
joy;/dʒɔɪ/;n:sự vui sướng
jam;/dʒæm/;n:mứt
job;/dʒɑːb/;n:công việc;
jar;/dʒɑːr/;n:lọ
jaw;/dʒɑː/;n:hàm
jobless;/ˈdʒɑːb.ləs/;adj:thất nghiệp
jump;/dʒʌmp/;v:nhảy lên
july;/dʒʊˈlaɪ/;n:tháng bảy
january;/ˈdʒæn.ju.er.i/;n:tháng một
february;/ˈfeb.ruː.er.i/;n:tháng hai
march;/mɑːrtʃ/;n:tháng ba
april;/ˈeɪ.prəl/;n: tháng tư
may;/meɪ/;n:tháng năm/v:có thể, có lẽ
june;/dʒuːn/;n:tháng sáu
august;/ˈɑː.ɡəst/;n:tháng tám
september;/sepˈtem.bɚ/;n:tháng chín
october;/ɑːkˈtoʊ.bɚ/;n:tháng mười
november;/noʊˈvem.bɚ/;n:tháng mười một
december;/dɪˈsem.bɚ/;n:tháng mười hai
just;/dʒʌst/;adv:đúng, vừa đủ/adv:vừa mới, chỉ
join;/dʒɔɪn/;v:gia nhập, tham gia/v:nối, chắp, ghép
joke;/dʒoʊk/;n:trò đùa, trò cười
jack;/dʒæk/;n:giắc cắm
judge;/dʒʌdʒ/;n:thẩm phán
juice;/dʒuːs/;n:nước ép
joint;/dʒɔɪnt/;n:chung, khớp
jeans;/dʒiːnz/;n:quần bò
jelly;/ˈdʒel.i/;n:thạch
jolly;/ˈdʒɑː.li/;adj:vui vẻ
jacket;/ˈdʒæk.ɪt/;n:áo khoác
junior;/ˈdʒuː.njɚ/;n:trẻ em/n:người có cấp bậc thấp, mới vào làm
jungle;/ˈdʒʌŋ.ɡəl/;n:rừng nhiệt đới
journey;/ˈdʒɝː.ni/;n:hành trình
journal;/ˈdʒɝː.nəl/;n:tạp chí
journalist;/ˈdʒɝː.nə.lɪst/;n:nhà báo
justify;/ˈdʒʌs.tə.faɪ/;v:bào chữa, biện hộ
justice;/ˈdʒʌs.tɪs/;n:công lý, công bằng
jubilee;/ˌdʒuː.bəˈliː/;n:lễ kỷ niệm
jealous;/ˈdʒel.əs/;adj:ghen tỵ, ghen tuông
jealousy;/ˈdʒel.ə.si/;n:sự ghen tỵ
juniper;/ˈdʒuː.nə.pɚ/;n:cây bách xù
junture;/ˈdʒʌŋk.tʃɚ/;n:thời cơ
junction;/ˈdʒʌŋk.ʃən/;n:giao lộ, giao điểm
